pdp_url,product_id,product_name,brand,currency,selling_price,regular_price,promotion_description,review,rating,image,product_description,size,material_care,availability
https://www.very.co.uk/mini-v-by-very-boys-pull-on-denim-shorts-mid-wash/1601052823.prd,1601052823,Boys Pull On Denim Shorts - Mid Wash,Mini V by Very,GBP,7,9,Save up to £2.25,,,https://media.very.co.uk/i/very/W5X1U_SQ1_0000000020_BLUE_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Pull On Denim Shorts - Midi Wash from V by Very, Blue, Mid rise, Elasticated waist with drawstring, Five pocket detail, Rolled leg","['2-3 YEARS', '3-4 YEARS', '4-5 YEARS', '5-6 YEARS', '6-7 YEARS']",,True
https://www.very.co.uk/smallsaints-younger-boys-logo-t-shirt-navy/1601108819.prd,1601108819,Younger Boys Logo T-shirt - Navy,smALLSAINTS,GBP,20,,,,,https://media.very.co.uk/i/very/WD85P_SQ1_0000000048_NAVY_MDf?$pdp_300x400_x2$&fmt=jpg,"All Saints Logo T-Shirt by smALLSAINTS, Navy, Logo print on front and back, Short sleeves, Crew neck","['12-18 MONTHS', '1.5-2 YEARS', '2-3 YEARS', '3-4 YEARS', '4-5 YEARS', '5-6 YEARS']","['Material Content: Main: 100% Cotton,Neck: 97% Cotton,3% Elastane']",True
https://www.very.co.uk/v-by-very-boys-cut-and-sew-t-shirt-green-multi/1601069386.prd,1601069386,Boys Cut And Sew T-Shirt - Green - Multi,V by Very,GBP,8,,,,,https://media.very.co.uk/i/very/W7XVF_SQ1_0000000029_MULTI_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Cut And Sew T-Shirt - Green from V by Very, Multi, Short sleeveÂ , Crew neckÂ , Cut and sew colour block","['3 YEARS', '4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '9 YEARS', '10 YEARS', '11 YEARS', '12 YEARS', '13 YEARS', '14 YEARS', '15 YEARS', '16 YEARS']",,False
https://www.very.co.uk/river-island-boxers-5-pack-multi/1600997054.prd,1600997054,Boxers 5 Pack - Multi,River Island,GBP,14,,,5,5,https://media.very.co.uk/i/very/VYWMT_SQ1_0000000005_GREY_SLf?$pdp_300x400_x2$&fmt=jpg,,"['5-6 YEARS', '7-8 YEARS', '9-10 YEARS', '11-12 YEARS', '13-14 YEARS', '15-16 YEARS']",,True
https://www.very.co.uk/adidas-junior-boys-train-essentials-t-shirt-blackwhite/1601021418.prd,1601021418,Junior Boys Train Essentials T-Shirt - Black/White,adidas,GBP,12,,,78,4.8,https://media.very.co.uk/i/very/W2G33_SQ1_0000000019_BLACK_WHITE_MDf?$pdp_300x400_x2$&fmt=jpg,,"['5-6 YEARS', '7-8 YEARS', '9-10 YEARS', '11-12 YEARS', '13-14 YEARS', '15-16 YEARS']",,True
https://www.very.co.uk/smallsaints-all-saints-boys-logo-t-shirt-black/1601108847.prd,1601108847,All Saints Boys Logo T-Shirt - Black,smALLSAINTS,GBP,24,,,,,https://media.very.co.uk/i/very/WD8AJ_SQ1_0000000004_BLACK_MDf?$pdp_300x400_x2$&fmt=jpg,"All Saints Boys Logo T-Shirt by smALLSAINTS, Black, Front & back logoÂ , Short sleeveÂ , Crew neckÂ ","['4-5 YEARS', '5-6 YEARS', '6-7 YEARS', '7-8 YEARS', '8-9 YEARS', '9-10 YEARS', '10-11 YEARS', '11-12 YEARS', '12-13 YEARS']","['Material Content: Main: 100% Cotton,Neck: 97% Cotton,3% Elastane']",False
https://www.very.co.uk/smallsaints-younger-boys-t-shirt-blue/1601108854.prd,1601108854,Younger Boys T-shirt - Blue,smALLSAINTS,GBP,20,,,,,https://media.very.co.uk/i/very/WD85O_SQ1_0000000020_BLUE_SLf?$pdp_300x400_x2$&fmt=jpg,"All Saints Logo T-Shirt by smALLSAINTS, Blue, Logo print, Short sleeves, Crew neckline","['12-18 MONTHS', '1.5-2 YEARS', '2-3 YEARS', '3-4 YEARS', '4-5 YEARS', '5-6 YEARS']","['Material Content: Main: 100% Cotton,Neck: 97% Cotton,3% Elastane', 'Washing Instructions: Machine Washable']",True
https://www.very.co.uk/everyday-unisex-3-pack-sports-school-t-shirts-black/1600429342.prd,1600429342,Unisex 3 Pack Sports School T-shirts - Black,Everyday,GBP,7,,,9,4.8,https://media.very.co.uk/i/very/PUDXC_SQ1_0000000004_BLACK_ASf?$pdp_300x400_x2$&fmt=jpg,"3 Pack Sport T-Shirts by EverydayÂ , Black, Perfect for P.E lessons and after-school athletics, Great value pack of 3 tops, Crew neck, Short sleeves, Easy to pair with any shorts and track bottoms,  keeps them fresh all day long, Warning: keep away from fire and flames","['3-4 YEARS', '4-5 YEARS', '5-6 YEARS', '6-7 YEARS', '7-8 YEARS', '8-9 YEARS', '9-10 YEARS', '10-11 YEARS', '11-12 YEARS', '12-13 YEARS', '13-14 YEARS', '14-15 YEARS', '15-16 YEARS']","['Material Content: 70% Viscose, 24% Nylon, 6% Elastane', 'Washing Instructions: Machine Washable']",True
https://www.very.co.uk/v-by-very-boys-jacquard-polo-top-blue/1601106016.prd,1601106016,Boys Jacquard Polo Top - Blue,V by Very,GBP,10,,,1,5,https://media.very.co.uk/i/very/WCXZG_SQ1_0000000020_BLUE_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Jacquard Polo Top from V by Very, Blue, Short sleeves, Polo collar, Quarter zip","['3 YEARS', '4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '9 YEARS', '10 YEARS', '11 YEARS', '12 YEARS', '13 YEARS', '14 YEARS', '15 YEARS', '16 YEARS']",,False
https://www.very.co.uk/everyday-unisex-2-pack-v-neck-school-jumper-royal-blue/1600406916.prd,1600406916,Unisex 2 Pack V-Neck School Jumper - Royal Blue,Everyday,GBP,12,,,39,3.6,https://media.very.co.uk/i/very/PK9YF_SQ2_0000000129_ROYAL_SLf?$pdp_300x400_x2$&fmt=jpg," colour finish that will keep its vivid look for longer, Durable enough to survive the school term, they feature a classic V-neckline, and the comfy cotton-rich fabric is,  means less time spent getting rid of creases,  keeps them fresh all day long, Ribbed trim to neckline, hem and cuffs keep it in shape, Warning: keep away from fire and flames","['3-4 YEARS', '4-5 YEARS', '5-6 YEARS', '6-7 YEARS', '7-8 YEARS', '8-9 YEARS', '9-10 YEARS', '10-11 YEARS', '11-12 YEARS', '12-13 YEARS', '13-14 YEARS', '14-15 YEARS', '15-16 YEARS']","['Material Content: 80% Cotton, 20% Nylon', 'Washing Instructions: Machine Washable']",True
https://www.very.co.uk/nike-infant-boys-swoosh-t-shirt-and-shorts-set-grey/1601150851.prd,1601150851,Infant Boys Swoosh T-Shirt And Shorts Set - Grey,Nike,GBP,24,,,21,4.9,https://media.very.co.uk/i/very/WIDA5_SQ1_0000000005_GREY_SLf?$pdp_300x400_x2$&fmt=jpg,"Infant Boys Swoosh T-Shirt And Shorts Set by Nike, Grey, Crew neck, short sleeve T-shirt, Elasticated waist shorts with side stripe, Logo print","['12 MONTHS', '18 MONTHS', '24 MONTHS']",['Material Content: 100% POLYESTER'],True
https://www.very.co.uk/everyday-5-pack-unisex-trainer-liner-socks-white/1600063392.prd,1600063392,5 Pack Unisex Trainer Liner Socks - White,Everyday,GBP,6,,,19,3.6,https://media.very.co.uk/i/very/77V97_SQ1_0000000013_WHITE_PKf?$pdp_300x400_x2$&fmt=jpg,"5 Pack Unisex Trainer Liner Socks by EverydayÂ , White, Perfect for school or P.E. lessons, this multipack, Elasticated","['6-8.5 YOUNGER', '9-12 YOUNGER', '12-3.5 OLDER', '4-6.5 OLDER']",,True
https://www.very.co.uk/everyday-boys-7-pack-briefs-blue/1600647411.prd,1600647411,Boys 7 Pack Briefs - Blue,Everyday,GBP,8,,,15,4.7,https://media.very.co.uk/i/very/TMUTQ_SQ1_0000000484_BLUE_MULTI_PKf?$pdp_300x400_x2$&fmt=jpg,"Kids Briefs by EverydayÂ , Multi, Great value pack of seven, Spun in super soft, breathable cotton that's kind to their skin, This pack of briefs features a different colour for every day of the week!, Finished with a branded tab to the front","['18-24 MONTHS', '2-3 YEARS', '3-4 YEARS', '4-5 YEARS', '5-6 YEARS', '7-8 YEARS', '9-10 YEARS', '11-12 YEARS']","['Material Content: 95% Cotton 5% Elastane', 'Washing Instructions: Machine Washable']",True
https://www.very.co.uk/v-by-very-boys-cut-and-sew-t-shirt-and-short-set-multi/1601074437.prd,1601074437,Boys Cut And Sew T-Shirt And Short Set - Multi,V by Very,GBP,18,,,1,5,https://media.very.co.uk/i/very/W8UIX_SQ1_0000000029_MULTI_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Cut And Sew T-Shirt And Short Set from V by Very, Multi, Cut and sew colour block, Short sleeves, Crew neckÂ , Elasticated waist, Side slip pockets, Back pocket","['3 YEARS', '4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '9 YEARS', '10 YEARS', '11 YEARS', '12 YEARS', '13 YEARS', '14 YEARS', '15 YEARS', '16 YEARS']",,False
https://www.very.co.uk/tommy-hilfiger-boys-essential-short-sleeve-t-shirt-and-short-set-multi/1601090864.prd,1601090864,Boys Essential Short Sleeve T-Shirt And Short Set - Multi,Tommy Hilfiger,GBP,50,,,,,https://media.very.co.uk/i/very/WAUVD_SQ1_0000000029_MULTI_SLf?$pdp_300x400_x2$&fmt=jpg,,"['4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '10 YEARS', '12 YEARS', '14 YEARS', '16 YEARS']",,False
https://www.very.co.uk/everyday-unisexnbspjogger-short-navy/1600849619.prd,1600849619,Unisex Jogger Short - Navy,Everyday,GBP,6,,,6,4.8,https://media.very.co.uk/i/very/VFNL2_SQ1_0000000048_NAVY_ASf?$pdp_300x400_x2$&fmt=jpg,"Unisex Jogger Short from Everyday, Navy, Great quality at value prices, Easy to wear jogger style shorts perfect forÂ casual days, Cotton rich fabric ensures a super comfy fit, Elasticated waistband with adjustable draw cord lets them personalise the fit, Falls just at the knee, Smart navy colourway","['3-4 YEARS', '4-5 YEARS', '5-6 YEARS', '6-7 YEARS', '7-8 YEARS', '8-9 YEARS', '9-10 YEARS', '10-11 YEARS', '11-12 YEARS', '12-13 YEARS', '13-14 YEARS', '14-15 YEARS', '15-16 YEARS']","['Material Content: 80% Cotton, 20% Polyester', 'Washing Instructions: Machine Washable']",False
https://www.very.co.uk/tommy-hilfiger-boys-essential-logo-short-sleeve-t-shirt-red/1601090863.prd,1601090863,Boys Essential Logo Short Sleeve T-Shirt - Red,Tommy Hilfiger,GBP,14,20,Save £6,,,https://media.very.co.uk/i/very/WAUQV_SQ1_0000000017_RED_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Essential Logo Short Sleeve T-Shirt by Tommy Hilfiger, Red, Printed logo to chest, Short sleeves, Crew neck collar","['4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '10 YEARS', '12 YEARS', '14 YEARS', '16 YEARS']","['Material Content: 100% Cotton', 'Washing Instructions: Machine Washable']",True
https://www.very.co.uk/under-armour-boys-football-challenger-t-shirt-orange/1601116179.prd,1601116179,Boys Football Challenger T-Shirt - Orange,UNDER ARMOUR,GBP,16.50,21,Save £4.50,4,5,https://media.very.co.uk/i/very/WEOU5_SQ1_0000000198_ORANGE_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Football Challenger T-Shirt by UNDER ARMOUR, Orange, Crew neck, Short sleeves, Smooth, lightweight, fast-drying fabric, Material wicks sweat & dries fast, Mesh side panels for added breathability, Shaped hem",[],,True
https://www.very.co.uk/v-by-very-boys-chino-shorts-stone/1601048932.prd,1601048932,Boys Chino Shorts - Stone,V by Very,GBP,9,,,2,3,https://media.very.co.uk/i/very/W5VHJ_SQ1_0000000013_WHITE_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Chino Shorts from V by Very, Stone, Chino style, Side slip pockets, Back welted pockets, Belt loops, Roll up cuffs","['3 YEARS', '4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '9 YEARS', '10 YEARS', '11 YEARS', '12 YEARS', '13 YEARS', '14 YEARS', '15 YEARS', '16 YEARS']",,False
