pdp_url,prices,product_id,product_description,color,product_type
https://www.pullandbear.com/ae/embroidered-varsity-bomber-jacket-l07700527,299.00,692151475,"Varsity-style bomber jacket with contrasting patches and embroidery, featuring side pockets, ribbed trims and snap button fastening.","['Bottle', 'Black']",Clothing
https://www.pullandbear.com/ae/washed-patch-shirt-l07472533,219.00,714314432,"Short sleeve shirt with 'Creative Manner' front embroidery, a star patch on the back, and button fastening.","['Pale blue', 'Anthracite grey']",Clothing
https://www.pullandbear.com/ae/playstation-x-stwd-cap-l07930539,99.00,703746756,"PlayStation license cap with an embroidered logo on the front panel, curved peak and adjustable fastening at the back.",['Grey'],Clothing
https://www.pullandbear.com/ae/multipanel-trainers-l12302640,269.00,714314446,Trainers available in several colours. Combination of materials and metallic details on the upper. Chunky sole. Lace-up fastening.OrthoLite® insoleSole height: 5.5 cm.,"['Ecru', 'Black']",Footwear
https://www.pullandbear.com/ae/short-sleeve-check-shirt-l07472558,219.00,705096506,"Short sleeve shirt with a check design, Kent collar, button-up front and made of cotton.",['Grey'],Clothing
https://www.pullandbear.com/ae/stwd-soccer-tshirt-l07152928,189.00,703959868,STWD soccer T-shirt with a contrast ribbed collar and short sleeves.,['Blue'],Clothing
https://www.pullandbear.com/ae/tshirt-with-gloria-silva-photo-l07151540,119.00,692757367,Short sleeve T-shirt with a round neck and a contrast photo print by Gloria Silva. Made from a cotton blend.,['Grey'],Clothing
https://www.pullandbear.com/ae/gloria-silva-photo-tshirt-l07151543,119.00,692757373,"Round neck, short sleeve T-shirt featuring a Gloria Silva photo print at the back and contrast 'Seamless Design' text. Made of cotton blend.",['Sand'],Clothing
https://www.pullandbear.com/ae/black-tshirt-with-gloria-silva-photographic-print-l07151541,119.00,692757376,Black short sleeve T-shirt with a contrast Gloria Silva photographic print and a round neck. Made of a cotton blend.,['Black'],Clothing
https://www.pullandbear.com/ae/contrast-stitch-tshirt-l07151551,99.00,697267100,"Short sleeve T-shirt in various colours, featuring contrast stitching, a round neck, and an embroidered graphic label at the hem. Made of cotton.","['Anthracite grey', 'Mustard', 'Off white']",Clothing
https://www.pullandbear.com/ae/long-sleeve-striped-polo-shirt-l07550519,219.00,697267102,Long sleeve STWD striped knit polo shirt with button fastening at the collar.,"['Sky blue', 'Dark green']",Clothing
https://www.pullandbear.com/ae/stwd-embroidered-tshirt-l07151552,99.00,713407436,"STWD T-shirt with embroidery on the front, 'It's time' text on the back, a crew neck and short sleeves.",['Off white'],Clothing
https://www.pullandbear.com/ae/northern-sea-cap-l07930531,75.00,698993627,Two-tone cap with 'Northern Sea' embroidery and a red peak.,['Others'],Clothing
https://www.pullandbear.com/ae/no-place-like-home-cap-l07930529,75.00,698625026,"Cap with a contrast curved peak, embroidery on the front panel and adjustable back fastening.",['Others'],Clothing
https://www.pullandbear.com/ae/wideleg-jeans-l07683512,219.00,713407498,"Wide-leg jeans with a five-pocket design, belt loops, and zipper fly and top button fastening.","['Dark grey', 'Greenish blue', 'Faded black', 'Medium blue', 'Neon blue']",Clothing
https://www.pullandbear.com/ae/cotton-jacket-with-zipper-l07700521,219.00,692157459,"Lightweight cotton jacket with zipper fastening, pockets and long sleeves.","['Black', 'Pale grey']",Clothing
