"selection1_name","selection1_url","selection1_brand","selection1_brand_url","selection1_price","selection1_price_url"
"Regular Fit Luxury Cotton Twill Shirt","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-shirt/p/clp60630987?color=BLUE#intid=pid_pg1pip48g4r7c3%7Cprodflag_Offer","M&S SARTORIAL","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-shirt/p/clp60630987?color=BLUE#intid=pid_pg1pip48g4r7c3%7Cprodflag_Offer","£49","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-shirt/p/clp60630987?color=BLUE#intid=pid_pg1pip48g4r7c3%7Cprodflag_Offer"
"The Ultimate Pure Cotton Oxford Shirt","https://www.marksandspencer.com/pure-cotton-oxford-shirt/p/clp60707843?color=CHAMBRAY#intid=pid_pg1pip48g4r7c4","M&S Collection","https://www.marksandspencer.com/pure-cotton-oxford-shirt/p/clp60707843?color=CHAMBRAY#intid=pid_pg1pip48g4r7c4","£24","https://www.marksandspencer.com/pure-cotton-oxford-shirt/p/clp60707843?color=CHAMBRAY#intid=pid_pg1pip48g4r7c4"
"Pure Cotton Hawaiian Shirt","https://www.marksandspencer.com/pure-cotton-hawaiian-shirt/p/clp60736444#intid=pid_pg1pip48g4r8c1","M&S Collection","https://www.marksandspencer.com/pure-cotton-hawaiian-shirt/p/clp60736444#intid=pid_pg1pip48g4r8c1","£28","https://www.marksandspencer.com/pure-cotton-hawaiian-shirt/p/clp60736444#intid=pid_pg1pip48g4r8c1"
"Pure Linen Short Sleeve Shirt","https://www.marksandspencer.com/pure-linen-shirt/p/clp60709496?color=NAVY#intid=pid_pg1pip48g4r8c2","M&S Collection","https://www.marksandspencer.com/pure-linen-shirt/p/clp60709496?color=NAVY#intid=pid_pg1pip48g4r8c2","£40","https://www.marksandspencer.com/pure-linen-shirt/p/clp60709496?color=NAVY#intid=pid_pg1pip48g4r8c2"
"Regular Fit Pure Linen Shirt","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=LIGHTSTONE#intid=pid_pg1pip48g4r8c3","M&S Collection","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=LIGHTSTONE#intid=pid_pg1pip48g4r8c3","£45","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=LIGHTSTONE#intid=pid_pg1pip48g4r8c3"
"Cotton Rich Short Sleeve Cuban Collar Shirt","https://www.marksandspencer.com/cotton-rich-short-sleeve-cuban-collar-shirt/p/clp60720988?color=BLUEMIX#intid=pid_pg1pip48g4r8c4","M&S Collection","https://www.marksandspencer.com/cotton-rich-short-sleeve-cuban-collar-shirt/p/clp60720988?color=BLUEMIX#intid=pid_pg1pip48g4r8c4","£35","https://www.marksandspencer.com/cotton-rich-short-sleeve-cuban-collar-shirt/p/clp60720988?color=BLUEMIX#intid=pid_pg1pip48g4r8c4"
"Slim Fit Easy Iron Pure Cotton Textured Shirt","https://www.marksandspencer.com/slim-fit-non-iron-pure-cotton-textured-shirt/p/clp60679335?color=WHITE#intid=pid_pg1pip48g4r9c1","M&S Collection","https://www.marksandspencer.com/slim-fit-non-iron-pure-cotton-textured-shirt/p/clp60679335?color=WHITE#intid=pid_pg1pip48g4r9c1","£35","https://www.marksandspencer.com/slim-fit-non-iron-pure-cotton-textured-shirt/p/clp60679335?color=WHITE#intid=pid_pg1pip48g4r9c1"
"Cotton Linen Blend Short Sleeve Embroidered Shirt","https://www.marksandspencer.com/cotton-linen-blend-embroidered-shirt/p/clp60720520#intid=pid_pg1pip48g4r9c2","M&S Collection","https://www.marksandspencer.com/cotton-linen-blend-embroidered-shirt/p/clp60720520#intid=pid_pg1pip48g4r9c2","£35","https://www.marksandspencer.com/cotton-linen-blend-embroidered-shirt/p/clp60720520#intid=pid_pg1pip48g4r9c2"
"Cotton Rich Short Sleeve Cuban Collar Shirt","https://www.marksandspencer.com/cotton-rich-short-sleeve-cuban-collar-shirt/p/clp60720988?color=GREENMIX#intid=pid_pg1pip48g4r9c3","M&S Collection","https://www.marksandspencer.com/cotton-rich-short-sleeve-cuban-collar-shirt/p/clp60720988?color=GREENMIX#intid=pid_pg1pip48g4r9c3","£35","https://www.marksandspencer.com/cotton-rich-short-sleeve-cuban-collar-shirt/p/clp60720988?color=GREENMIX#intid=pid_pg1pip48g4r9c3"
"Regular Fit Easy Iron Cotton Blend Striped Shirt","https://www.marksandspencer.com/regular-fit-easy-iron-cotton-blend-striped-shirt/p/clp60732140?color=NAVYMIX#intid=pid_pg1pip48g4r9c4","M&S Collection","https://www.marksandspencer.com/regular-fit-easy-iron-cotton-blend-striped-shirt/p/clp60732140?color=NAVYMIX#intid=pid_pg1pip48g4r9c4","£35","https://www.marksandspencer.com/regular-fit-easy-iron-cotton-blend-striped-shirt/p/clp60732140?color=NAVYMIX#intid=pid_pg1pip48g4r9c4"
