pdp_url,product_name,instock,discount,sale_price,mrp
https://kuludonline.com/collections/vitamins-supplements-offers/products/now-zinc-picolinate-50mg-cap-60-s-60cap,Now Zinc Picolinate 50Mg Cap 60`S 60CAP,True,25%,45.75,61.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-chromium-picolinate-tablet-1800-mcg-60-pc,Health Aid Chromium Picolinate Tablet 1800 Mcg 60 PC,True,25%,34.13,45.50
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-biotin-capsule-10000-mcg-45-pc,Webber Naturals Biotin Capsule 10000 Mcg 45 PC,True,20%,62.4,78.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/now-magnesium-400mg-cap-180s-180cap,Now Magnesium 400Mg Cap 180S 180CAP,True,25%,86.25,115.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-vitamin-d3-hard-capsule-5000-i-u-30-pc,Health Aid Vitamin D3 Health Aid rd Capsule 5000 I.U 30 PC,True,25%,45.75,61.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-a-to-z-multivitamin-tablet-30-pc,Health Aid A To Z Multivitamin Tablet 30 PC,True,25%,31.5,42.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/health-aid-ultra-probio-100-billion-30cap,Health Aid Ultra Probio 100 Billion 30CAP,True,25%,201.38,268.50
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-omega-3-fish-oil-epa-dha-capsule-300-mg-210-cap,Webber Naturals Omega 3 Fish Oil Epa Dha Capsule 300 Mg 210 CAP,False,20%,138.4,173.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-melatonin-extra-strength-sublingual-tablet-5-mg-60-pc,Webber Naturals Melatonin Extra Strength Sublingual Tablet 5 Mg 60 PC,True,20%,55.2,69.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-omega-3-6-9-soft-gelattin-capsule-1200-mg-90-pc,Webber Naturals Omega 3 6 9 Soft Gelattin Capsule 1200 Mg 90 PC,True,20%,78.4,98.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-collagen-with-lysine-vitimin-c-tablet-120-tab,Webber Naturals Collagen With Lysine + Vitimin C Tablet 120 Tab,True,20%,99.2,124.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-digestive-enzymes-tablet-90-pc,Webber Naturals Digestive Enzymes Tablet 90 PC,True,20%,54.4,68.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/marneys-vitamin-c-ampoule-1000-mg-20-pc,Marnys Vitamin C Ampoule 1000 Mg 20 PC,True,30%,46.2,66.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-vitamin-d3-oral-drops-200-i-u-15-ml,Health Aid Vitamin D3 Oral Drops 200 I.U 15 ML,True,25%,33.75,45.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-livercare-tablet-60-pc,Health Aid Livercare Tablet 60 PC,True,25%,68.25,91.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-zinc-sulphate-tablet-200-mg-90-pc,Health Aid Zinc SulpHealth Aid te Tablet 200 Mg 90 PC,True,25%,29.25,39.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/health-aid-magcitra-50tab,Health Aid Magcitra 50TAB,True,25%,45.75,61.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/marnys-junior-syrup-125-mm,Marnys Junior Syrup 125 MM,True,30%,24.5,35.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-coffee-slim-hard-capsule-60-pc,Health Aid Coffee Slim Health Aid rd Capsule 60 PC,True,25%,79.5,106.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/jamieson-vitamin-k2-120mcg-d3-1000iu-30cap,Jamieson Vitamin K2 120Mcg+D3 1000 IU 30CAP,True,25%,67.13,89.50
https://kuludonline.com/collections/vitamins-supplements-offers/products/health-aid-vitamin-c-chewable-tablet-500-mg-60-pc,Health Aid Vitamin C Chewable Tablet 500 Mg 60 PC,True,25%,33.75,45.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-vitamin-e-soft-gelattin-capsule-400-i-u-30-pc,Health Aid Vitamin E Soft Gelattin Capsule 400 I.U 30 PC,True,25%,31.5,42.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-vitamin-b6-b12-with-folic-acid-capsule-90-pc,Webber Naturals Vitamin B6 B12 With Folic Acid Capsule 90 PC,True,20%,36.0,45.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-balanced-omega-3-6-9-soft-gelattin-capsule-60-pc,Health Aid Balanced Omega 3.6.9 Soft Gelattin Capsule 60 PC,True,25%,81.75,109.00
https://kuludonline.com/collections/vitamins-supplements/products/amerix-melatonin-gummy-5-mg-60-pc,Amerix Melatonin Gummy 5 Mg 60 PC,True,25%,49.88,66.50
https://kuludonline.com/collections/vitamins-supplements/products/naturals-aid-vitamin-c-low-acid-tablet-1000-mg-30-tab,Natures Aid Vitamin C Low Acid Tablet 1000 Mg,True,,27.5,
https://kuludonline.com/collections/vitamins-supplements/products/feroglobin-b12-modified-release-capsule-hard-30-cap,"Feroglobin B12 Modified-Release Capsule, Hard 30 CAP",True,,30.0,
https://kuludonline.com/collections/vitamins-supplements/products/webber-naturals-melatonin-tablet-5-mg-60-pc,Webber Naturals Melatonin Tablet 5 Mg 60 PC,True,20%,27.2,34.00
https://kuludonline.com/collections/vitamins-supplements/products/ha-vitamin-d3-hard-capsule-50000-i-u-30-pc,Health Aid Vitamin D3 Health Aid rd Capsule 50000 I.U 30 PC,True,25%,106.88,142.50
https://kuludonline.com/collections/vitamins-supplements/products/webber-naturals-melatonin-magnesium-tablet-10-150-mg-60-tab,Webber Naturals Melatonin Magnesium Tablet 10/150 Mg 60 Tab,True,20%,79.2,99.00
https://kuludonline.com/collections/vitamins-supplements/products/webber-naturals-magnesium-citrate-capsule-150-mg-60-pc,Webber Naturals Magnesium Citrate Capsule 150 Mg 60 PC,True,20%,43.2,54.00
https://kuludonline.com/collections/vitamins-supplements/products/mr-tumee-multivitamin-gummy-60-pc,Mr Tumee Multivitamin Gummy 60 PC,True,,65.0,
https://kuludonline.com/collections/vitamins-supplements/products/redoxon-effervescent-tablet-15-pc,Redoxon Effervescent Tablet 15 PC,True,,15.0,
https://kuludonline.com/collections/vitamins-supplements/products/life-on-insta-max-tablet-10-pc,Life On Insta-Max Tablet 10 PC,True,,68.0,
https://kuludonline.com/collections/vitamins-supplements/products/perfectil-soft-gelattin-capsule-30-cap,Perfectil Soft Gelattin Capsule 30 CAP,True,,40.0,
https://kuludonline.com/collections/vitamins-supplements/products/neurobion-tablet-30-tab,Neurobion Tablet 30 Tab,True,,24.0,
https://kuludonline.com/collections/vitamins-supplements/products/walmark-magnesium-b6-tablet-30-pc,Walmark Magnesium + B6 Tablet 30 PC,True,,55.0,
https://kuludonline.com/collections/vitamins-supplements/products/naturals-aid-calcium-magnesium-and-zinc-tablet-90-tab,"Natures Aid Calcium, Magnesium And Zinc Tablet",True,,40.0,
https://kuludonline.com/collections/vitamins-supplements/products/21-st-century-vitamin-c-chewable-tablet-500mg-30-pc,21St Century Vitamin C Chewable Tablet 500Mg 30 PC,True,,18.0,
https://kuludonline.com/collections/vitamins-supplements/products/ha-l-glutathione-tablet-250mg-60-pc,Health Aid L Glutathione Tablet 250Mg 60 PC,True,25%,172.88,230.50
https://kuludonline.com/collections/vitamins-supplements/products/dream-water-snoozeberry-74ml,Dream Water Snoozeberry 74ML,True,,39.0,
