unique_id,product_name,regular_price,selling_price,percentage_discount,breadcrumb,pdp_url,uom
789050,Auchan Kedvenc gyümölcs joghurt eper-szeder-málna- 8x125 g,,989,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Auchan Kedvenc gyümölcs joghurt eper-szeder-málna- 8x125 g,https://auchan.hu/shop/auchan-kedvenc-gyümölcs-joghurt-eper-szeder-málna--8x125-g.p-913754,g
829382,BAILEYS Snack 4x28 g,,1099,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > BAILEYS Snack 4x28 g,https://auchan.hu/shop/baileys-snack-4x28-g.p-964885,g
11398,Zott Szívecske zsírszegény joghurt 125 g,,108,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > light-gyumolcsjoghurtok > Zott Szívecske zsírszegény joghurt 125 g,https://auchan.hu/shop/zott-szívecske-zsírszegény-joghurt-125-g.p-441955,g
534086,Tarka zsírszegény eperízű élőflórás joghurt 125 g,,142,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > light-gyumolcsjoghurtok > Tarka zsírszegény eperízű élőflórás joghurt 125 g,https://auchan.hu/shop/tarka-zsírszegény-eperízű-élőflórás-joghurt-125-g.p-520515,g
534089,Tarka zsírszegény sárgabarackízű élőflórás joghurt 125 g,,142,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > light-gyumolcsjoghurtok > Tarka zsírszegény sárgabarackízű élőflórás joghurt 125 g,https://auchan.hu/shop/tarka-zsírszegény-sárgabarackízű-élőflórás-joghurt-125-g.p-520516,g
38017,"Zott Jogobella 0% élőflórás, sovány joghurt édesítőszerekkel 150 g",,157,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > light-gyumolcsjoghurtok > Zott Jogobella 0% élőflórás, sovány joghurt édesítőszerekkel 150 g","https://auchan.hu/shop/zott-jogobella-0%-élőflórás,-sovány-joghurt-édesítőszerekkel-150-g.p-847333",g
1627,Zott Jogobella Light zsírszegény joghurt cukorral és édesítőszerrel 150 g,,157,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > light-gyumolcsjoghurtok > Zott Jogobella Light zsírszegény joghurt cukorral és édesítőszerrel 150 g,https://auchan.hu/shop/zott-jogobella-light-zsírszegény-joghurt-cukorral-és-édesítőszerrel-150-g.p-160341,g
468767,Zott Jogobella élőflórás joghurt hozzáadott cukor nélkül 150 g,,160,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > light-gyumolcsjoghurtok > Zott Jogobella élőflórás joghurt hozzáadott cukor nélkül 150 g,https://auchan.hu/shop/zott-jogobella-élőflórás-joghurt-hozzáadott-cukor-nélkül-150-g.p-273379,g
782732,"Danone YoPro banános sovány joghurt földimogyoró aromával, édesítőszerekkel 160 g",,317,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > light-gyumolcsjoghurtok > Danone YoPro banános sovány joghurt földimogyoró aromával, édesítőszerekkel 160 g","https://auchan.hu/shop/danone-yopro-banános-sovány-joghurt-földimogyoró-aromával,-édesítőszerekkel-160-g.p-763970",g
782735,"Danone YoPro sovány joghurt áfonyával, édesítőszerekkel, magnéziummal és folsavval 160 g",,317,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > light-gyumolcsjoghurtok > Danone YoPro sovány joghurt áfonyával, édesítőszerekkel, magnéziummal és folsavval 160 g","https://auchan.hu/shop/danone-yopro-sovány-joghurt-áfonyával,-édesítőszerekkel,-magnéziummal-és-folsavval-160-g.p-763971",g
